SESSION_IDENTIFIER,LAP_NUM,CURRENT_LAP_TIME_MS,NORMALISED_LAP_TIME_MS,maxBrake,maxBrake_S1,maxBrake_S2,maxBrake_S3,aveBrake,aveBrake_S1,aveBrake_S2,aveBrake_S3,minThrottle,minThrottle_S1,minThrottle_S2,minThrottle_S3,aveThrottle,aveThrottle_S1,aveThrottle_S2,aveThrottle_S3,ValidLap,ValidLap_4wheels,firstBrakeDist,firstBrakeLateral,firstBrakeSpeed,steeringIntensity,steeringIntensity_S1,steeringIntensity_S2,steeringIntensity_S3,steering2,timeDecreasingThrottle,timeDecreasingThrottle_S1,timeDecreasingThrottle_S2,timeDecreasingThrottle_S3,timeIncreasingThrottle,timeIncreasingThrottle_S1,timeIncreasingThrottle_S2,timeIncreasingThrottle_S3,timeSameThrottle,timeSameThrottle_S1,timeSameThrottle_S2,timeSameThrottle_S3
151836e14,2,12679,12626.82769986994,1,0,1,0,0.07512276964757725,0,0.16556183213592232,0,0,1,0,1,0.8670239861718061,1,0.7069363578737864,1,1,1,0.29775752498342406,0.17694717238579294,317,0.10223449396272577,0.0015938001086785792,0.08776633463023145,0.08126819648992789,0.12419680853303965,333,0,333,0,969,0,969,0,11311,2119,4404,4788
17849857623809577e3,5,12712,12628.913303852136,1,0,1,0,0.08832436606258011,0,0.1929190100840568,0,0,1,0,1,0.7985394230134877,1,0.5599676871084065,1,0,1,0.2700862927565679,0.17726281026414692,330,0.06436951094255278,5.866295622823648e-4,0.05426577628379354,0.0872974149646525,0.07915847397729171,250,0,250,0,2202,0,2202,0,10194,2103,3303,4788
152427e14,2,12671,12628.950705545472,1,0,1,0,0.0934394975176989,0,0.20111739465714298,0,0.067826331,1,0.067826331,1,0.8366963278097346,1,0.6485082865238097,1,1,1,0.27221944799382947,0.13951200565180705,317,0.06880901744239265,0.0011011861172176716,0.056669833391052936,0.09170288966144804,0.08408882446814159,1404,0,1404,0,1237,0,1237,0,9974,2099,3130,4745
920384e12,1,12712,12629.108820619624,1,0,1,0,0.08095619729741367,0,0.18059459397115374,0,0,1,0,0.624633431,0.8612819707715517,1,0.696661570471154,0.992860830224719,0,1,0.3026708197648795,0.1521101221358996,316,0.06898320503059585,3.1082037848014757e-4,0.05784103338436277,0.07117275517451872,0.0840211319913793,334,0,234,100,484,0,434,50,11844,2135,4987,4722
174249e14,1,12726,12634.986312674611,0.947539508,0,0.947539508,0,0.09709991589473696,0,0.2049887113333333,0,0.074998096,1,0.074998096,1,0.8613036559692985,1,0.7071966070462963,1,1,1,0.28222717557880456,0.1424891926419523,317,0.06072128844434596,3.6749574854751127e-4,0.05006908084731298,0.09058800424975447,0.07472784581578946,817,0,817,0,1633,0,1633,0,10210,2052,3355,4803
1686956066918641200,3,12712,12636.331484552053,1,0,1,0,0.10661520833966767,0,0.23054399752081953,0,0,1,0,1,0.813892404523056,1,0.5975622080712234,1,1,1,0.25296013117465505,0.13115933652245207,331,0.08019254619257116,8.44952174447683e-4,0.07070159462205232,0.11758388177475258,0.09970696607026354,701,0,701,0,1051,0,1051,0,10894,2035,4104,4755
3397261924944538600,7,12728,12639.261204249522,0.994125247001648,0,0.994125247001648,0,0.1131103631889397,0,0.24669760247242864,0,0,1,0,1,0.8017614820287393,1,0.5676349564937171,1,1,1,0.2684403503489161,0.1465212207408338,331,0.07455009067609053,2.3883547042592007e-4,0.06462042702128834,0.08777562728928584,0.09348333586757855,500,0,500,0,1502,0,1502,0,10660,2052,3804,4804
994336e13,2,12710,12645.389223953396,0.94752425,0,0.94752425,0,0.09849705335964908,0,0.21593584775000005,0,0.056260012,1,0.056260012,1,0.8396491630043861,1,0.6484616265865385,1,1,1,0.27948019483084946,0.17388767209899889,317,0.06780591915909509,6.812947704591165e-4,0.057554062157091135,0.0903752501357546,0.08375435999824561,750,0,750,0,1784,0,1784,0,10110,2119,3187,4804
97185831637688192,2,12729,12646.542755365534,1,0,1,0,0.12756403584931458,0,0.2782215609472113,0,0,1,0,1,0.8720091940327125,1,0.7208476387092778,1,1,1,0.2802972861397133,0.1624610762913569,332,0.12061640327548034,7.703006316882381e-4,0.11282453746664473,0.08707776596267448,0.1563543719267287,150,0,150,0,201,0,201,0,12295,2052,5455,4788
994336e13,1,12726,12647.280732312684,0.917021453,0,0.917021453,0,0.08891172353617008,0,0.19169041312844026,0,0,1,0,1,0.843340946587234,1,0.6622488297981652,1,1,1,0.28506048495816294,0.15507247027864948,317,0.06234754365677393,4.0717291512620596e-4,0.05200521906650035,0.09874331925016445,0.07674359514042554,367,0,367,0,1501,0,1501,0,10792,2119,3903,4770
