"SESSION_IDENTIFIER","LAP_NUM","CURRENT_LAP_TIME_MS","NORMALISED_LAP_TIME_MS","maxBrake","maxBrake_S1","maxBrake_S2","maxBrake_S3","aveBrake","aveBrake_S1","aveBrake_S2","aveBrake_S3","minThrottle","minThrottle_S1","minThrottle_S2","minThrottle_S3","aveThrottle","aveThrottle_S1","aveThrottle_S2","aveThrottle_S3","firstBrakeDist","firstBrakeLateral","firstBrakeSpeed","timeDecreasingThrottle","timeDecreasingThrottle_S1","timeDecreasingThrottle_S2","timeDecreasingThrottle_S3","timeIncreasingThrottle","timeIncreasingThrottle_S1","timeIncreasingThrottle_S2","timeIncreasingThrottle_S3","timeSameThrottle","timeSameThrottle_S1","timeSameThrottle_S2","timeSameThrottle_S3","FROM_2022"
10931610505009170432,3,12696,12677.3146757737,1,0,1,0,0.0769336881799315,0,0.166410912476156,0,0,1,0,1,0.849305352373938,1,0.674040925243626,1,0.305545697435824,0.173482029869203,317,284,0,284,0,2052,0,2052,0,10244,1986,3486,4772,TRUE
6231027125348401152,1,12729,12677.5906466223,1,0,1,0,0.0963111008832775,0,0.207313725630105,0,0,1,0,1,0.818252974123818,1,0.608781825656356,1,0.26552114105108,0.10503616659263,332,251,0,251,0,850,0,850,0,11545,1952,4805,4788,FALSE
238225001016730240,1,12728,12677.6934039977,0.9540855884552,0,0.9540855884552,0,0.0898518763305876,0,0.192648514505413,0,0,1,0,1,0.788569846658014,1,0.546679416987098,1,0.223908744402931,0.205817024794241,329,600,0,600,0,1251,0,1251,0,10744,1901,4039,4804,FALSE
10203891777616652288,2,12729,12678.5953628784,0.990849673748016,0,0.990849673748016,0,0.111060099576304,0,0.24480989691551,0,0,1,0,1,0.828569350398441,1,0.622115234749251,1,0.295309706364038,0.148160546352489,324,683,0,683,0,1084,0,1084,0,10862,1968,4022,4872,TRUE
1833466151099456000,3,12776,12688.6260931738,0.853376030921936,0,0.853376030921936,0,0.0875187957352854,0,0.188563223538751,0,0.00567635614424944,1,0.00567635614424944,1,0.847192742260574,1,0.670769817415963,1,0.283680888791184,0.181735581275583,317,635,0,635,0,1684,0,1684,0,10324,1968,3503,4853,TRUE
3397261924944538112,8,12762,12689.1445293739,1,0,1,0,0.113167575142515,0,0.241550958707553,0,0,1,0,1,0.811023621753914,1,0.596638654836086,1,0.270834150349309,0.117748632005053,332,651,0,651,0,1302,0,1302,0,10709,1901,4003,4805,FALSE
5281819728018241536,2,12729,12689.3256390538,1,0,1,0,0.104136129473096,0,0.225183254330713,0,0,1,0,1,0.800896060678799,1,0.569459003006291,1,0.284352697579717,0.150505999738205,332,500,0,500,0,2203,0,2203,0,9893,1902,3153,4838,FALSE
17923765952439869440,2,12762,12689.336552226,1,0,1,0,0.106211175884418,0,0.229670320502204,0,0,1,0,1,0.822624968298575,1,0.616445444269567,1,0.259701701053333,0.0842815995341867,330,951,0,951,0,2102,0,2102,0,9609,1952,2852,4805,FALSE
10793323095989604352,2,12771,12692.2733748581,1,0,1,0,0.0767467498909437,0,0.168990439663713,0,0,1,0,1,0.86649748470683,1,0.706037730748693,1,0.291280458271664,0.0875739800093917,316,451,0,451,0,667,0,667,0,11520,1952,4671,4897,TRUE
1442676670598973184,5,12729,12694.005352536,0.972549021244049,0,0.972549021244049,0,0.10905062668236,0,0.219340465031564,0,0,1,0,1,0.805206603333775,1,0.608199645341797,1,0.295799121206003,0.129293875595232,324,384,0,384,0,1201,0,1201,0,10994,1868,4321,4805,TRUE
5071899742338912256,2,12779,12695.8658061584,1,0,1,0,0.0712310349270378,0,0.156708276839484,0,0,0.898338198661804,0,1,0.873761983531894,0.997324689438469,0.723244571401959,1,0.296387488775578,0.166001085742298,308,301,67,234,0,667,0,667,0,11711,1951,4871,4889,TRUE
12092021347166191616,2,12762,12697.9413590698,1,0,1,0,0.0875527166502674,0,0.194468053328959,0,0,1,0,1,0.874292213679392,1,0.720783666922496,1,0.299018026691189,0.109857411333767,318,367,0,367,0,736,0,736,0,11543,2010,4628,4905,TRUE
7659723656111344640,2,12762,12699.7963227941,0.691004812717438,0,0.691004812717438,0,0.0850724767137386,0,0.18545799923595,0,0,1,0,1,0.823182514569628,1,0.614537881761789,1,0.268744375718099,0.142275850529111,317,567,0,567,0,1602,0,1602,0,10493,2018,3637,4838,TRUE
3634306594235992064,2,12762,12700.0209330625,1,0,1,0,0.11511255923006,0,0.252056810727889,0,0,1,0,1,0.841150878686604,1,0.652175199882737,1,0.280099869810905,0.135271093281281,331,851,0,851,0,1401,0,1401,0,10394,1952,3554,4888,FALSE
4486621736790789120,5,12779,12701.189136131,1,0,1,0,0.121535903532204,0,0.261611182179491,0,0,1,0,1,0.867148754223594,1,0.714032064176212,1,0.282230295292376,0.147295124179969,332,551,0,551,0,300,0,300,0,11795,1885,5055,4855,FALSE
321882000617768256,2,12762,12704.8201493092,1,0,1,0,0.108629697354467,0,0.235828573743885,0,0,1,0,1,0.832261297562138,1,0.635849312656264,1,0.287588184332774,0.099831258301016,329,352,0,352,0,1001,0,1001,0,11293,1952,4486,4855,FALSE
17250850441472348160,2,12796,12709.156291136,1,0,1,0,0.0955270971405452,0,0.211317517916963,0,0,1,0,1,0.851005846732317,1,0.67040687307452,1,0.314586232582155,0.150819970515093,315,500,0,500,0,968,0,968,0,11212,1986,4354,4872,TRUE
17962844060030705664,2,12779,12710.1996753693,1,0,1,0,0.114958467152644,0,0.243328755473097,0,0,1,0,1,0.880143206595906,1,0.746303120627999,1,0.272575183475643,0.154428941500355,333,150,0,150,0,201,0,201,0,12295,1885,5655,4755,FALSE
1442676670598973184,6,12779,12713.5059502494,0.917647063732147,0,0.917647063732147,0,0.0974789929709265,0,0.205439598089264,0,0,1,0,1,0.811824730849273,1,0.603415561789867,1,0.283856329302839,0.154945963597762,324,484,0,484,0,1268,0,1268,0,10927,1885,4237,4805,TRUE
920383713154590720,3,12795,12714.0084849497,1,0,1,0,0.0931583000866642,0,0.2028587282261,0,0,1,0,1,0.905612961864779,1,0.794465608546667,1,0.301364008654969,0.153804842457942,315,267,0,267,0,151,0,151,0,12244,1968,5422,4854,TRUE
6563136483648472064,2,12771,12715.1136524519,1,0,1,0,0.0992097264475759,0,0.216544306765382,0,0,1,0,1,0.846879568853568,1,0.665785212786152,1,0.315492318639301,0.211173709129811,313,752,0,752,0,833,0,833,0,11036,1968,4179,4889,TRUE
4131079224770729472,2,12812,12716.7921030782,0.970016002655029,0,0.970016002655029,0,0.0912941898858428,0,0.202434942790348,0,0,1,0,1,0.835568541061937,1,0.635391112789512,1,0.290485627173128,0.187681366613179,319,200,0,200,0,1251,0,1251,0,11245,2102,4305,4838,FALSE
13699752332234096640,1,12796,12720.5775138051,1,0,1,0,0.0866814902015762,0,0.187320169503406,0,0,1,0,1,0.820979419173033,1,0.613133490585793,1,0.281243977293924,0.117067552657881,331,601,0,601,0,950,0,950,0,11145,1952,4338,4855,FALSE
734171285436404608,2,12787,12722.8553191577,1,0,1,0,0.0611812511770121,0,0.135558458490242,0,0,1,0,1,0.812365614640139,1,0.584261067732073,1,0.290358860705865,0.140717558468954,316,900,0,900,0,902,0,902,0,10885,2010,3995,4880,TRUE
9937197676777170944,3,12779,12723.513622293,0.733760595321655,0,0.733760595321655,0,0.0898495379737332,0,0.196977833250108,0,0,1,0,1,0.839020196699717,1,0.64708273891861,1,0.273704314329619,0.143238809099671,317,1068,0,1068,0,950,0,950,0,10645,1986,3787,4872,TRUE
8333785365183353856,2,12812,12728.5302883086,1,0,1,0,0.0920833823216314,0,0.198993749932339,0,0,1,0,1,0.863102230469824,1,0.704161599744111,1,0.27751212226399,0.141335702266554,333,250,0,250,0,701,0,701,0,11745,1902,4955,4888,FALSE
4636621705041618944,4,12746,12730.0114442349,0.916044890880585,0,0.916044890880585,0.00096131837926805,0.09257192086604,0,0.196405107590734,1.06813153252006e-05,0,1,0,1,0.79163886900976,1,0.557912035116359,1,0.266893157392371,0.102432309598467,331,800,0,800,0,1452,0,1452,0,10361,1902,3704,4755,FALSE
10851171156448092160,8,12795,12738.0900823816,1,0,1,0,0.116244736322654,0,0.249236595674844,0,0,1,0,1,0.821172043784216,1,0.616580737944124,1,0.264616709777723,0.172083415278361,332,601,0,601,0,1401,0,1401,0,10660,1902,3954,4804,FALSE
1759299045309027584,1,12812,12740.642835187,1,0,1,0,0.105665914217631,0,0.228345831571999,0,0,1,0,1,0.866402117323642,1,0.711292711165497,1,0.285116071071266,0.136817116341964,332,200,0,200,0,350,0,350,0,12146,1936,5355,4855,FALSE
13924989749254590464,1,12829,12741.247651568,0.865827441215515,0,0.865827441215515,0,0.0896637599242414,0,0.197608480609736,0,0,1,0,0.683802545070648,0.815136882964735,1,0.614337555413107,0.974823642982526,0.31465476403202,0.125148132611713,317,1450,0,1268,182,1952,0,1450,502,9311,1952,2988,4371,TRUE
14285509787690088448,1,12795,12743.2925092359,0.966811656951904,0,0.966811656951904,0,0.0822968842279091,0,0.176350466202663,0,0,1,0,1,0.821857043761559,1,0.618265093774769,1,0.257692542808147,0.107868471275399,333,250,0,250,0,951,0,951,0,11494,1901,4755,4838,FALSE
