SESSION_IDENTIFIER,LAP_NUM,CURRENT_LAP_TIME_MS,NORMALISED_LAP_TIME_MS,maxBrake,maxBrake_S1,maxBrake_S2,maxBrake_S3,aveBrake,aveBrake_S1,aveBrake_S2,aveBrake_S3,minThrottle,minThrottle_S1,minThrottle_S2,minThrottle_S3,aveThrottle,aveThrottle_S1,aveThrottle_S2,aveThrottle_S3,ValidLap,ValidLap_4wheels,firstBrakeDist,firstBrakeLateral,firstBrakeSpeed,steeringIntensity
361976e13,1,12829,12750.392114308144,0.996078432,0,0.996078432,0,0.0756843201422415,0,0.16722630736190477,0,0,1,0,1,0.8257155746939653,1,0.6149144126571428,1,1,1,0.2821943269361213,0.13742308526971872,316,0.06216301913622723
26637e14,1,12804,12750.428329127575,0.69796294,0,0.69796294,0,0.08462520265502173,0,0.188147295223301,0,0,1,0,1,0.8377588164759824,1,0.6392890191553396,1,1,1,0.2654460049358058,0.15414548087072477,315,0.05820086155948138
17849857623809577e3,2,12796,12752.976939284268,1,0,1,0,0.0882835361999103,0,0.19618563599980038,0,0,1,0,0.9448691606521606,0.78706674610193,1,0.532651893348775,0.9931708246469497,0,0,0.27238770419554165,0.1335244950126396,333,0.06861689162595673
16783044009217286e3,2,12795,12753.750555404547,1,0,1,0,0.11074699963874754,0,0.24289888156061454,0,0,1,0,1,0.8605597255558801,1,0.694168809832645,1,1,1,0.26873739001450325,0.12793831767851005,329,0.11621502900167129
1875588253565286400,3,12846,12757.80195456112,1,0,1,0,0.11722580632834717,0,0.2580937920842602,0,0,1,0,1,0.870398584525776,1,0.7146590684517089,1,0,1,0.27630841973791614,0.08672581176999253,333,0.10044363297303048
191018e13,2,12837,12757.985219351543,1,0,1,0,0.07681117773305093,0,0.17430228793269245,0,0,1,0,1,0.8311893291864408,1,0.6169296316153845,1,0,1,0.2728465477827471,0.09661482482826618,310,0.0693148173761646
4131079224770729500,1,12812,12761.382409862776,0.9520256519317628,0,0.9520256519317628,0,0.07838173662187431,0,0.173369773375502,0,0,1,0,1,0.7783939857945783,1,0.5098375448507213,1,0,0,0.25623156413826265,0.13085215726172056,331,0.08127814773335944
99372e14,2,12838,12761.861544479432,0.836484313,0,0.836484313,0,0.09249478256118164,0,0.20877393778095246,0,0,1,0,1,0.8367110824219408,1,0.6314335860380951,1,0,1,0.2654722463608476,0.16454461397486794,316,0.06853512134823969
7027715250412914e3,7,12833,12762.992474812172,1,0,1,0,0.10767034783788088,0,0.23815221004819445,0,0,1,0,1,0.8341221553612485,1,0.6331006995702192,1,1,1,0.27309902485204346,0.15185182754572027,330,0.07665701779927293
1875588253565286400,2,12845,12764.485752610684,1,0,1,0.19669285416603088,0.12317124532379278,0,0.2748878587936533,0.003763477007548011,0,1,0,0.3333333134651184,0.8594969063428526,1,0.6941510589215258,0.9869281041855905,0,0,0.2756643037382954,0.09520161337209236,331,0.09798139609159486
