"","REFTYPE","SESSION_IDENTIFIER","FRAME","WORLDPOSX","WORLDPOSY","WORLDPOSZ","c1dist","c2dist","closeToOne","closeToTwo","inRange","distfromrandpoint"
"936","RIGHT",14023301428294604800,951,293.788726806641,275.824066162109,1.91703641414642,117.454335065695,200.441498952036,TRUE,TRUE,TRUE,633.148032402974
"937","RIGHT",14023301428294604800,952,295.344635009766,274.255279541016,1.9202938079834,115.244961452141,198.405680310529,TRUE,TRUE,TRUE,634.436128072426
"938","RIGHT",14023301428294604800,953,296.512298583984,273.078033447266,1.92323780059814,113.586953872512,196.88039467986,TRUE,TRUE,TRUE,635.406056384985
"939","RIGHT",14023301428294604800,954,297.682708740234,271.898742675781,1.92680263519287,111.925569788178,195.354368005642,TRUE,TRUE,TRUE,636.380403173291
"1692","RIGHT",14023301428294604800,955,299.2412109375,270.329833984375,1.93272316455841,109.714318085929,193.327122633711,TRUE,TRUE,TRUE,637.680838306661
"1693","RIGHT",14023301428294604800,956,300.410308837891,269.153533935547,1.93776071071625,108.056004159756,191.809636876112,TRUE,TRUE,TRUE,638.65904075005
"1694","RIGHT",14023301428294604800,957,301.576385498047,267.981964111328,1.94268369674683,106.4031948193,190.299997202848,TRUE,TRUE,TRUE,639.635838255021
"1695","RIGHT",14023301428294604800,958,303.130096435547,266.423583984375,1.94885063171387,104.202861430479,188.294737831367,TRUE,TRUE,TRUE,640.939040118318
"1696","RIGHT",14023301428294604800,959,304.295684814453,265.255981445312,1.95355772972107,102.553256593026,186.794683360808,TRUE,TRUE,TRUE,641.918441109217
"1697","RIGHT",14023301428294604800,960,305.462188720703,264.088531494141,1.95810520648956,100.903132278699,185.297004472201,TRUE,TRUE,TRUE,642.900298287968
"1698","RIGHT",14023301428294604800,961,306.624298095703,262.926422119141,1.96244847774506,99.2599100582773,183.80845453002,TRUE,TRUE,TRUE,643.880241458021
"1699","RIGHT",14023301428294604800,962,308.174591064453,261.378051757812,1.96843874454498,97.0691931463856,181.828645540875,TRUE,TRUE,TRUE,645.189815870359
"1700","RIGHT",14023301428294604800,963,309.335144042969,260.219940185547,1.97302138805389,95.4299498377043,180.350699730582,TRUE,TRUE,TRUE,646.172299810116
"1701","RIGHT",14023301428294604800,965,310.883605957031,258.676879882812,1.97926032543182,93.2443585673498,178.385183432908,TRUE,TRUE,TRUE,647.485193718023
"1702","RIGHT",14023301428294604800,966,312.041320800781,257.523834228516,1.98394811153412,91.6107593153287,176.91963388967,TRUE,TRUE,TRUE,648.469238153129
"4196","RIGHT",14023301428294604800,968,313.584777832031,255.988189697266,1.99046051502228,89.4340214204553,174.971919849435,TRUE,TRUE,TRUE,649.783658175353
"4197","RIGHT",14023301428294604800,969,314.740753173828,254.838516235352,1.99511432647705,87.8040910534258,173.517177553867,TRUE,TRUE,TRUE,650.770681041155
"4198","RIGHT",14023301428294604800,970,315.895355224609,253.690414428711,1.9995414018631,86.1762612390186,172.067502226001,TRUE,TRUE,TRUE,651.758906094981
"4199","RIGHT",14023301428294604800,971,317.048919677734,252.54345703125,2.00409507751465,84.5499923006735,170.622454322622,TRUE,TRUE,TRUE,652.74869341859
"4200","RIGHT",14023301428294604800,972,318.582183837891,251.019165039062,2.01041841506958,82.3885964839919,168.707065952112,TRUE,TRUE,TRUE,654.068027757972
"4201","RIGHT",14023301428294604800,973,319.727508544922,249.880249023438,2.01444792747498,80.7738772096905,167.279942590806,TRUE,TRUE,TRUE,655.056763566512
"4202","RIGHT",14023301428294604800,974,321.236114501953,248.379745483398,2.01990485191345,78.6467767314254,165.405110239336,TRUE,TRUE,TRUE,656.363242233316
"4203","RIGHT",14023301428294604800,975,322.352294921875,247.26936340332,2.0240695476532,77.0728691134861,164.021752446529,TRUE,TRUE,TRUE,657.332830502027
"4204","RIGHT",14023301428294604800,976,323.451507568359,246.176071166992,2.02762579917908,75.5230605967517,162.663021240269,TRUE,TRUE,TRUE,658.28975505334
"4205","RIGHT",14023301428294604800,977,324.889831542969,244.746292114258,2.03237724304199,73.495742057956,160.891116475817,TRUE,TRUE,TRUE,659.544508811693
"4215","RIGHT",14023301428294604800,978,325.948913574219,243.694259643555,2.03633093833923,72.0035411417188,159.591037460507,TRUE,TRUE,TRUE,660.470126671646
